source_type,raw_text,language,event_date,label_gpt
stackoverflow,how to configure rails app (especially routing) hosted on heroku to run via an nginx proxy which uses a subdirectory?,ruby,2023,web backend
stackoverflow,parallel testing with playwright - my tests use from old credential when i run them in parallel mode and workers don't try to get new credential,typescript,2023,testing_qa
stackoverflow,does the .net nuget google.cloud.firestore package support connecting to a specific named database within a single firebase project?,c#,2025,data_ai
stackoverflow,"intellij kotlin build system gradle jdk 23 gives ""inconsistent jvm-target compatibility detected for tasks 'compilejava' (23) and 'compilekotlin' (22)",kotlin,2024,developer tools
stackoverflow,i need advice on setup compiler for c library with embedded lua in cygwin with mingw on windows,"c, lua",2024,embedded
stackoverflow,"composer could not detect the root package (laravel/laravel) version, defaulting to '1.0.0'. see https://getcomposer.org/root-version",php,2024,web backend
stackoverflow,how can i create a bufreader and safely continue reading ancillary data from an underlying unix socket?,rust,2025,embedded
stackoverflow,referring to non-existent class while compiling to scalajs,scala,2025,developer tools
stackoverflow,qwebsocket client doesn't connect to qwebsocketserver if server is set to not listen on creation and doesn't connect if server start to listen later,python,2024,web backend
stackoverflow,ruby can't open large csv file on an m3 mbpro but can on a windows desktop pc with similar hardware,ruby,2024,developer tools
stackoverflow,"""system.io.filenotfoundexception: could not load file or assembly"" exception at registration of service using types from dynamically loaded assembly",c#,2023,developer tools
stackoverflow,"bybit api v5 returning error code 170130: ""data sent for parameter '%s' is not valid."" no explanation of what parameter '%s' is",rust,2023,data_ai
stackoverflow,what's the difference between `v1.2.3` and `qv(1.2.3)` under `use version`?,perl,2024,developer tools
stackoverflow,"typescript ts2345 error when passing {a: number} to record<string, unknown> or record<string, never>, not assignable",typescript,2025,developer tools
stackoverflow,"utilizing fedex track api to capture tracking status results in status 422 - 'invalid.input.exception', 'message': 'invalid field value in the input'",python,2023,web backend
stackoverflow,declare type for a function that unfolds a function and that function is called with a record whose elements can be a function or a string,typescript,2024,developer tools
stackoverflow,element type is invalid: expected a string (for built-in components) or a class/function (for composite components) but got: object. in react project,javascript,2024,web frontend
stackoverflow,"import logic in python - for some modules we follow the structure from a.b.c import d, but for some modules we can bypass that and do from a import e",python,2023,web backend
stackoverflow,remove 'ship to a different address?' checkbox while keeping woocommerce's checkout shipping fields enabled,"php, javascript",2025,web frontend
stackoverflow,naming conventions for rspec tests with zeitwerk expecting model_spec.rb to define constant modalspec,ruby,2024,testing_qa
stackoverflow,"invalid options object. dev server has been initialized using an options object that does not match the api schema. ""_assetemittingpreviousfiles""",javascript,2024,developer tools
stackoverflow,simtalk plant sim. problem finding the duration each station is the bottleneck according to the 'current longest uninteruppted period' for a station,python,2024,data_ai
stackoverflow,wordpress cron jobs with google site kit - missing required scopes in scheduled event for google search console data fetching,php,2024,web backend
stackoverflow,cant run maui project getting below error - the project need to be deployed before we can debug. please enable deploy in the configuration manager,c#,2023,mobile
stackoverflow,need help in understanding perl lookbehind to exclude and include a pattern,perl,2023,developer tools
stackoverflow,"sort() without sort_string flag misinterprets hexadecimal strings containing numbers and an ""e"" as a number in scientific notation",php,2025,developer tools
stackoverflow,'package:flutter/src/widgets/navigator.dart': failed assertion: line 5859 pos 12: '!_debuglocked': is not true,dart,2025,mobile
stackoverflow,"how to iterate the sequence of pulling array items from middle (eg:[0,1,2,3,4,5,6,7] -> 4 3 5 2 6 1 7 0) without generating the sequence number array?",javascript,2024,developer tools
stackoverflow,"twine error with recent setuptools build but previous ones fine ""invaliddistribution: metadata is missing required fields: name, version""",python,2025,developer tools
stackoverflow,"goinsecure not working, it still use https, after go mod download,it report: parse https://code.demo.org/at?go-get=1: no go-import meta tags",go,2023,web backend
stackoverflow,"how would i skew a windows forms texture/image so that one side is smaller/bigger than the other side to have a ""pinched"" look to it",c#,2025,embedded
stackoverflow,is there a way in swiftdata to insert new items without updating potential already existing ones (and without creating duplicates)?,swift,2023,mobile
stackoverflow,how can i add the foreign key transactions (account_id) referencing accounts (account_id) - not a pk - in ruby on rails,ruby,2024,web backend
stackoverflow,why does avaudioformat fail to create a 4-channel pcm format for 44100/48000 hz on apple silicon (m2) with avfoundation?,swift,2025,embedded
stackoverflow,"why am i getting a ""temporary value while attempting to change the entity's state to 'modified'"" when trying to update a model that contains fk?",c#,2023,data_ai
stackoverflow,why does the imepadding cause the bottom element to bounce before aligning properly when the keyboard opens in jetpack compose?,kotlin,2025,mobile
stackoverflow,"react native fetch() causing unknown error error: enoent: no such file or directory, open 'c:\root\react-native\reactandroid\hermes-engine.cxx\release",javascript,2023,mobile
stackoverflow,"ggh4x::facet_grid2() - is there a way to have free & independent scales on the x axis, but for the columns to display the same scales?",r,2023,data_ai
stackoverflow,"how to extract parrot's anafi ai drone protobuf metadata from rtp packet, using golang?",go,2025,iot
stackoverflow,java.lang.noclassdeffounderror: io/mockk/proxy/jvm/advice/jvm/jvmmockkproxyinterceptor error while mocking org.w3c.dom.node using mockk,"java, kotlin",2023,testing_qa
stackoverflow,date string does not match format expected by formatter (swiftdata). is it a problem with my @model and the codingkeys?,swift,2025,mobile
stackoverflow,"i am building my c++ project on linux fedora 41 via cmake using vscode. when building, the compiler does not see the variadic function",c++,2025,embedded
stackoverflow,how to prevent automatic handling of newlines killing performance in perl text output?,perl,2024,developer tools
stackoverflow,"when stripe checkout payment fails, it stays on the same page and displays a standard error message provided by stripe",ruby,2025,web frontend
stackoverflow,"codeception: acceptance test is running as the first test in the test group, where api test is defined as the first test in the group: how to resolve?",php,2024,testing_qa
stackoverflow,"why do i get ""the endpoint only accepts post requests. received a get request"" error when authenticating with sso on ios app but not on safari",swift,2024,mobile
stackoverflow,is there a rust alternative to the gcc __attribute__((constructor)) and __attribute__((destructor))?,rust,2025,developer tools
stackoverflow,firefox extension: invoking the input file selector unloads the firefox extension popup and no further processing happens. (manifest ver 2),javascript,2025,web frontend
stackoverflow,could not load content for webpack://react-devtools-extensions/react-devtools-shared/src/backend/console.js and console logs appear from index.js:103,javascript,2023,web frontend
stackoverflow,"how can i combine a static rust library, low-level c ffi layer, and higher-level swift bindings into a single binary framework bundle for ios?","rust, swift",2023,mobile
stackoverflow,problem installing tailwindcss after `npx tailwindcss init` command - tailwindcss not recognized - npm error could not determine executable to run,javascript,2025,web frontend
stackoverflow,two api with same structure but when calling from postman one is working without sessionid and credential and another is not working,java,2025,web backend
stackoverflow,"django rest framework: can't properly annotate values to many-to-many model, keep getting error field name <field> is not valid for model <m2m model>",python,2024,web backend
stackoverflow,using jdk16+ unix domain socket support to connect to clamd randomly fails for the n-th connection (n > 1) when using non-blocking io,java,2025,web backend
stackoverflow,a neovim lua function to select around an allman-style block,lua,2025,embedded
stackoverflow,"scala bot4s: could not find implicit value for parameter backend: sttp.client3.sttpbackend[scala.concurrent.future,any]",scala,2025,web backend
stackoverflow,"""cannot convert return expression of type '()' to return type 'string'"" compiler error when trying to access returned string from closure",swift,2023,developer tools
stackoverflow,cannot borrow `*self` as mutable because it is also borrowed as immutable on returning an option containing a reference to self,rust,2023,developer tools
stackoverflow,how to fully resolve doctrine\orm\proxy\autoloader deprecation in symfony with orm 3.x and ghost objects enabled?,php,2025,web backend
stackoverflow,"! warning: `dart` on your path resolves to c:\dart-sdk\bin\dart.exe, which is not inside your current flutter sdk checkout at c:\flutter",dart,2023,mobile
stackoverflow,"data & email message from html form not appearing after received in admin email, but attachment appears and works fine",php,2024,web backend
stackoverflow,"why does registering a handler function for sighup prevent clicking the ""x"" to close the xterm window when waiting for input in php cli?",php,2024,developer tools
stackoverflow,flutter issues of android gradle plugin version and a problem occurred configuring project ':auto_orientation',dart,2025,mobile
stackoverflow,why is usb device path retrieved via pdev_broadcast_deviceinterface_a different from mf_devsource_attribute_source_type_vidcap_symbolic_link?,c++,2024,embedded
stackoverflow,"sbt sonatyperelease: project url missing, scm url missing, developer information missing",scala,2024,developer tools
stackoverflow,how do i teleport a player to a part when a proximityprompt is triggered?,lua,2023,game
stackoverflow,importerror with embedded python module when linked to larger shared library. undefined symbol: pylong_aslonglongandoverflow,"c, python",2023,embedded
stackoverflow,we are using golang with gin/gonic for our backend server. a service sets a cookie 'token' on http redirect which works on localhost but not on prod,go,2023,web backend
stackoverflow,"converting int to bytes, with confusion over significant bits and endianness",perl,2024,embedded
stackoverflow,passing arguments to a php function to manipulate the results returned on a wordpress site using functions and shortcode,php,2025,web backend
stackoverflow,spring reactive rest controller: issue with application/json content type instead of text/event-stream - no encoder found for content type null,kotlin,2023,web backend
stackoverflow,how to return a valid json object instead of a string when using a native query where it has a json data column in postgresql java 21 quarkus 3.91,java,2024,web backend
stackoverflow,"64 unsigned integers in lua 5.3/5.4 do not behave like in ""programming in lua""",lua,2024,embedded
stackoverflow,"overriding parent class function with generic type causes ""property 'x' in type 'y' is not assignable to the same property in base type 'parent'.""",typescript,2024,developer tools
stackoverflow,"moving between navigationstacks(path:...) throwing ""update navigationauthority bound path tried to update multiple times per frame.""",swift,2023,embedded
stackoverflow,why does this rust + apple metal gpgpu sha256 compute kernel code perform worse than cpu and much worse than gpu-accelerated hashcat?,rust,2023,embedded
stackoverflow,unable to generate bin folder using bash script with command: cmake -b build/debug -dcmake_build_type=debug; cmake --build build/debug -j8,c,2024,devops_cloud
stackoverflow,capture number which twice occurrence in strings,perl,2025,data_ai
stackoverflow,"in kotlin multi platform and jetpack compose, why and how is navhost importing from the same file with 9 versions of the same object, yet no errors?",kotlin,2025,mobile
stackoverflow,how to more nicely pull all values from hash that aren't a given key?,perl,2025,developer tools
stackoverflow,why is hard coded arabic letter not having same value as unicode code point,perl,2023,data_ai
stackoverflow,why does a refcell borrowed within an expression live longer than intended (while borrowing to a variable works),rust,2025,developer tools
stackoverflow,error when running airflow task: log file does not exist failed to fetch log file from worker. request url is missing an http:// or https:// protocol,python,2023,devops_cloud
stackoverflow,ga4 measurement protocol purchase event not appearing in debugview when sent from backend using stored _ga client_id,php,2025,web backend
stackoverflow,"how does the go docker sdk propagate context timeouts for logs streaming, containerwait, and container shutdown?",go,2025,devops_cloud
stackoverflow,building and deploying multiple go lambdas via images in aws with differing go packages from one dockerfile,go,2025,devops_cloud
stackoverflow,"why i'm getting a http 400 (bad request) error when i'm posting user credentials with jquery .ajax() method, to a c# controller? (asp.net mvc kestrel)",c#,2023,web backend
stackoverflow,"can't track down 'nsinvalidargumentexception', reason: 'application tried to present modally a view controller hat is already being presented by",swift,2023,mobile
stackoverflow,using p5 createradio() in a class and having two objects of that class leads to radio buttons not functioning independently,javascript,2025,embedded
stackoverflow,fatal python error: init_fs_encoding: failed to get the python codec ofthe filesystem encoding. issue with using <python.h> in qt creator,"c++, python",2023,embedded
stackoverflow,"error actionview::template::error (the asset ""application.js"" is not present in the asset pipeline",ruby,2024,web frontend
stackoverflow,"why is it faster to fetch a resource, create an object url, and set an iframe's src attribute to that, than to set src to that resource directly?",javascript,2023,web frontend
stackoverflow,laravel/framework v10.9.0 requires composer-runtime-api ^2.2 -> found composer-runtime-api[2.1.0] on google app engine standard php81 deployment,php,2023,web backend
stackoverflow,how to make the title of a gtsummary object correctly paginated and left-aligned when exporting using officer/flextable?,r,2025,developer tools
stackoverflow,add a clickable link at a specific page and location of a pdf file to open another local pdf file in a new window using pypdf2(or any python library),python,2023,web backend
stackoverflow,"pip >24.0 causes expected matching right_parenthesis for left_parenthesis, after version specifier kubernetes (>=9.0.0a1.0) ; extra == 'all_extras'",python,2024,devops_cloud
stackoverflow,with chisel how to avoid verilog file list at the end of generated file when using blackbox?,scala,2024,embedded
stackoverflow,sbt native package manager custom dockerfile:e: command line option 'o' [from -o] is not understood in combination with the other options,scala,2023,devops_cloud
stackoverflow,is there some method of installing all commonly used packages at once on thonny (since it lacks a lot of them and i have to install them one by one),python,2023,developer tools
stackoverflow,"difference between vim's ""job_start()"" function and neovim's ""jobstart()"" function?",lua,2023,developer tools
stackoverflow,"stddef.h(216, 23): typedef redefinition with different types ('unsigned int' vs 'unsigned long long') dont know what the issue is?",c,2023,embedded
stackoverflow,how can i convert each element in my panda dataframe from a list to a series? in order to be comapatiable with minirocketmultivariatevariable sktime,python,2023,data_ai
stackoverflow,while installing ruby in windows i am getting this error error: failed to build gem native extension and yaml.h not found,ruby,2024,developer tools
stackoverflow,is it possible to set an inflated password column with dbix::class::passphrasecolumn as undef / null?,perl,2024,security
stackoverflow,is it possible to create the algorithm in the table with code?,lua,2025,developer tools
stackoverflow,why won't cmake add a language standard compilation flag to a target via cmake_cxx_standard created before the definition of that variable?,c++,2023,developer tools
stackoverflow,"in scala 3, what's the recommended method to define an abstract method for case constructor?",scala,2024,developer tools
stackoverflow,"aws lambda - (the process started from chrome location /opt/chrome/chrome is no longer running, so chromedriver is assuming that chrome has crashed.)",python,2024,devops_cloud
stackoverflow,rust generic type bounds that allow any reference type (shared or mutable) that implements a trait while maintaining reference characteristics,rust,2024,embedded
stackoverflow,riverpod '!_didchangedependency': cannot use ref functions after the dependency of a provider changed but before the provider rebuilt,dart,2024,developer tools
stackoverflow,how can you take quarto yaml metadata and use it as a value in lua filter?,lua,2023,developer tools
stackoverflow,golang http handler -- is it possible to implement a call and response pattern within a single streaming post?,go,2024,web backend
stackoverflow,why does email::stuffer base64-encode differently than mime::base64 and how does utf8 fit in?,perl,2023,data_ai
stackoverflow,unable to cast object of type 'system.linq.emptypartition1[model]' to type 'system.collections.generic.list1[model]' using efcore.bulkextensions,c#,2023,data_ai
stackoverflow,"when downloading file, the extension selected is 'all files'. i want to download .xlsx extension file. how to do it?",go,2024,developer tools
stackoverflow,how to properly set a shared golang interface for hashicorp go-plugin to expose a method that accepts json string input,go,2024,web backend
stackoverflow,"is there a good, general catch-all for upload errors in r shiny that prevent the code from crashing and ignore an erroneous upload?",r,2024,data_ai
stackoverflow,"how to convert between myerror type and anyhow::error, and also handle the conversion conflict with std::error::error?",rust,2024,data_ai
stackoverflow,how do i sort an array of ruby on rails active record objects by the end date when end data is sometimes nil?,ruby,2023,web backend
stackoverflow,proper way to cast 'threadidx.x's into higher type in cuda kernel (%lu format in printf malfunctions in the cuda kernel?),c,2023,embedded
stackoverflow,"react native ios build failed showing multiple instances of the same simulator and same udid, ""com.apple.compilers.llvm.clang.1_0.compiler"" flagged",javascript,2023,mobile
stackoverflow,"""currently running a version of typescript which is not officially supported by @typescript-eslint/typescript-estree"" problem after nuxt updating",typescript,2024,web frontend
stackoverflow,"lua ""attempt to index a nil value"": indexing nested tables, where several tables might be not existing (using __index and __newindex metamethod)",lua,2023,embedded
stackoverflow,why does this mutex that protects globally unique instantiations deadlock when attempting to create an already existing element?,rust,2025,embedded
stackoverflow,why the scala compiler encoding different names with/without inner class’s accessing?,scala,2023,developer tools
stackoverflow,when do i call setstate to re-build the widget tree with values obtained from an asynchronous call?,dart,2025,web frontend
stackoverflow,i would like to know how the gx command gets the file path on the file manager,lua,2024,developer tools
stackoverflow,how do you combine multiple complexheatmap plots that are of different sizes? i have about 20 different heatmaps that need to go on same plot,r,2023,data_ai
stackoverflow,"in rust, is it sound to do place projections on raw pointers whose provenance overlaps a mutable reference?",rust,2025,embedded
stackoverflow,"using `rules_scala` + bazel, how to bundle transitive jars that are exported as part of a `scala_library` target, without going full `_deploy.jar`?",scala,2023,developer tools
stackoverflow,error executing lua /home/user/.config/nvim/lua/init.lua:7: module 'vscode.colors' not found:,lua,2024,developer tools
stackoverflow,how to get all files and directories within the current working directory of neovim using lua?,lua,2023,developer tools
stackoverflow,how to handle error for web service in endpoint in zio-http-3,scala,2025,web backend
stackoverflow,getting an insert statement conflicted with the foreign key constraint when adding a parent and child record at same time using ef core 7.0.20,c#,2025,data_ai
stackoverflow,how to add fallback to subroutines that are not available in some module versions?,perl,2023,developer tools
stackoverflow,"git status icon like (staged, unstaged, renamed, . . . ) does not appear in nvim-tree?",lua,2023,developer tools
stackoverflow,"ios 26 uislider's .valuechanged event is always blank and alltouches is always nil, unable to detect end of slider drag",swift,2025,mobile
stackoverflow,"after flutter 3.10 and dart 3.0 upgrade vs code unable to run tests with error: could not find an option named ""no-sound-null-safety""",dart,2023,mobile
stackoverflow,animated textfield flutter - how can i create a textfield in flutter where the hint text animates with suggestions smoothly?,dart,2025,mobile
stackoverflow,"""x is assignable to the constraint of type 't', but 't' could be instantiated with a different subtype of constraint"" for void function",typescript,2024,developer tools
stackoverflow,how do i fix serializationnotsupportedparenttype and thrownotsupportedexception_constructorcontainsnullparameternames exception in system.text.json?,c#,2025,data_ai
stackoverflow,"using clang and trying to generate a visual studio solution with premake doesn't compile with ""llvm-lib.exe exited with code 1""","c, lua",2024,developer tools
stackoverflow,"what is a ""bizarre copy of hash in list assignment"" when calling stack trace in perl debugger?",perl,2025,developer tools
stackoverflow,is it ok to cast a temporary object to rvalue reference and then cast it to lvalue reference to discard lvalue reference parameters of a function?,c++,2024,developer tools
stackoverflow,ios 26 - swipe to dismiss in a navigation controller by starting the swipe at the left edge of the screen and not center of screen,swift,2025,mobile
stackoverflow,could you please explain prometheus go runtime memory metric go_memstats_buck_hash_sys_bytes?,go,2025,data_ai
stackoverflow,launching a python script in vscode with arguments i get filenotfounderror: [errno 2] no such file or directory: 'c:\\users\\username\\foldername',python,2025,developer tools
stackoverflow,how to fix sa1029 warning when storing a logger in context across multiple packages?,go,2025,developer tools
stackoverflow,"what is the difference between `sort(str.begin(), str.end())` and `sort(std::begin(str), std::end(str))` in c++? or are these same, and if so, why?",c++,2023,developer tools
stackoverflow,how to bind an axios request that contains an array of files to an asp.net core model that contains a list<iformfile> variable,typescript,2025,web backend
stackoverflow,how to get rid of this warning: the 'x' parameter is captured in the state of the enclosing type and its value is also passed to the base constructor,c#,2024,developer tools
stackoverflow,"having some trouble getting what i think should be a simple conditional type function to work, maybe i don't understand type unions?",typescript,2025,developer tools
stackoverflow,writing a nom parser combinator that tries various parsers built from a supplied parser and combinators,rust,2025,developer tools
stackoverflow,phpmailer could not connect to smtp host. stream_socket_enable_crypto(): openssl error:0a000086:ssl routines::certificate verify failed,php,2023,web backend
stackoverflow,"perl multiple inheritance, inheriting the same method name twice: how to use the right method correctly?",perl,2023,developer tools
stackoverflow,passing string as the parameter to valdef left-hand-side's method invoke inside quote block in scala 3 macro annotation,scala,2025,developer tools
stackoverflow,secretmanager late initialization after spring boot 3.3.x to 3.4.x upgrade (spring cloud config import sm:// / sm@),kotlin,2025,devops_cloud
stackoverflow,i cloned the guava project and attempted to run the unit tests locally with jdk 11. why do i encounter a java.lang.unsupportedclassversionerror?,java,2025,testing_qa
stackoverflow,"stuck whilst applying the step missing from decoding a png file, in luau (defiltering)",lua,2024,embedded
stackoverflow,expanding numpy based code that detect the frequency of the consecutive number to work on multidimensional array instead of 1d array,python,2025,data_ai
stackoverflow,how can a sprintf-like function in c++20/23 verify that the number of format specifiers matches the number of provided arguments at compile time?,c++,2025,developer tools
stackoverflow,"by implementing a follower & feed system for a social media platform allowing users to follow and unfollow others, i experience performance issues",ruby,2023,web backend
stackoverflow,calling lua function from c: minimal example results in lua_errrun,"c, lua",2023,embedded
stackoverflow,something wrong with my usage of tokio select! macro. process block on the first branch notwithstanding there is an else clause,rust,2023,developer tools
stackoverflow,"what reasons cause a class c, which inherits from class a and has only one member variable of type b, not to be a standard-layout class?",c++,2023,developer tools
stackoverflow,"what causes a spurious ""<dependency> required to be available in rlib format, but was not found in this form"" error?",rust,2024,developer tools
stackoverflow,"405 method not allowed in postman after deploying the api in railway, but routes are correct and working well in local",go,2023,web backend
stackoverflow,matching pair-wise columns from left to right across rows in one dataframe to another dataframe and adding new columns with matching values,r,2025,data_ai
stackoverflow,"entgo o2m table relationship with staging table. error: ""but it is not holding a foreign key""",go,2025,data_ai
stackoverflow,"the proper way to run spark connect in anaconda - error '$home' is not recognized as an internal or external command, operable program or batch file",python,2023,data_ai
stackoverflow,when rendering from quarto to word document images wider than a particular length are rescaled and smaller than they should be,"r, lua",2023,testing_qa
stackoverflow,hi i am new to flutter and i wanted to implement this design where the tick icon is displayed when a button is selected from group of buttons,dart,2023,mobile
stackoverflow,postgresql query : how to select a jsonb object having backslash it in and how to remove the backslashes?,perl,2024,data_ai
stackoverflow,how to write a constructor in rust that accepts a simpler closure and infers the full generic type?,rust,2025,developer tools
stackoverflow,symfony\component\errorhandler\error\fatalerror allowed memory size of 536870912 bytes exhausted (tried to allocate 282828416 bytes),php,2023,web backend
stackoverflow,timeout to open tcp connection to smtp.sendgrid.net:587 (exceeds 5 seconds) in rails 7 when sending email in development,ruby,2023,web backend
stackoverflow,"difference between require(""some.module"") and require(""some"").module?",lua,2025,developer tools
stackoverflow,getting error as foreach conform to 'axiscontent' while using foreach inside axiscontent with @axiscontentbuilder using charts swiftui framework,swift,2025,mobile
stackoverflow,dotnet minimal api deployed as aws lambda http api with a function url returns 403 when trying to conduct a httppost multipart/form-data request,c#,2023,web backend
stackoverflow,how to architecturally effectively spawn perl processes that have a resource intensive init process?,perl,2024,devops_cloud
stackoverflow,iam using cunning_document_scanner package to scan and crop document.but i need to hide or remove the add more option from the package.hows possible?,dart,2023,developer tools
stackoverflow,"angular formarray input reactive form in mat table: required validator works perfectly, but @rxweb/reactive-form-validators somehow not",typescript,2024,web frontend
stackoverflow,connecting to pop3 from perl no longer works for outlook.office365.com,perl,2023,web backend
stackoverflow,action cable error: subscription class not found in anycable server + how to debug anycable on prod,ruby,2024,web backend
stackoverflow,"after updating my flutter project version 2.10.0 to the latest version, the webview is causing problems. it's not working properly","swift, dart",2023,mobile
stackoverflow,"java: symbol lookup error: /snap/core20/current/lib/x86_64-linux-gnu/libpthread.so.0: undefined symbol: __libc_pthread_init, version glibc_private",java,2023,developer tools
stackoverflow,is it well defined to cast generic function pointers to specifc signatures with void* params pointing to different types,c,2024,developer tools
stackoverflow,"activerecord::connectionnotestablished: connection to server at ""localhost"" (::1), port 5432 failed: fe_sendauth: no password supplied",ruby,2023,web backend
stackoverflow,easy way to replace all keys in a data structure with a standard one,perl,2024,data_ai
stackoverflow,"i'm getting segmentation error: core dumped when loading a list of string, especially for long lists. there is a memory leak that i cannot get rid of",c,2025,developer tools
stackoverflow,"how can i create a reactive table in a flexdashboard or shiny app, where the table output depends on the selected item in a drop-down list?",r,2023,web frontend
stackoverflow,next-auth throwing a callbackrouteerror when credentialssignin error expected on signin with invalid credentials. using credentials provider,typescript,2024,web backend
stackoverflow,"in google sheets, is there a way to `catch` the ""script timeout"" exception and log some quick information, before the script is actually terminated?",typescript,2024,developer tools
stackoverflow,"index.php file not live reloading with live server vs code extension, live server web extension, and php server vs code extension",php,2024,web frontend
stackoverflow,golang sdk for dynamodb : returnvaluesonconditioncheckfailure does not return the details about conditions when conditionchcekfailure occurs,go,2023,web backend
stackoverflow,use reflection to invoke methods in an assembly that contains a derived-class from the base-class that lives in another assembly,c#,2025,embedded
stackoverflow,connect a wcf project with azure sql using active directory service principal authentication type returns clientsecretcredential authentication failed,c#,2025,devops_cloud
stackoverflow,"jackson `invaliddefinitionexception` with graalvm native image: ""cannot construct instance ... no delegate- or property-based creator""",java,2025,developer tools
stackoverflow,why ruby on rails 7.x.x doesn't render the public folder? not favicons or 404.html page. i use my module but it doesn't work,ruby,2023,web backend
stackoverflow,"an error ""the seed entity for entity type `sometable` cannot be added because no value was provided for the required property `hogeid1`"" in ef core",c#,2023,data_ai
stackoverflow,"installing cpan module dbd::mysql on macos sonoma fails with ""symbol not found.""",perl,2024,developer tools
stackoverflow,unable to install perl module image::magick on windows os (strawberry perl),perl,2024,developer tools
stackoverflow,"why can't i pass ""mouse y"" (from input.getaxis(""mouse y"") straight into the x axis transform rotation in this situation? (want to learn more about c#)",c#,2024,game
stackoverflow,can not create file in specific directory inside the project (war file) java deployed on wildfly on ubuntu(the system cannot find the path specified),java,2024,web backend
stackoverflow,"i am getting different errors dependent on the compiler i am using. however, i used valgrind and i was given a __pthread_tpp_change_priority error",c,2023,embedded
stackoverflow,fluentbit s3 configuration: how to get log paths similar to fluentd?,lua,2023,devops_cloud
stackoverflow,i'd like to fix an lua script in domoticz to control my heating module,lua,2024,iot
stackoverflow,"in swiftui, how can i set foregroundstyle color only when a certain state is true, but otherwise leave the original foreground color?",swift,2024,mobile
stackoverflow,why does adding an subsequent if-else block cause another previous if-else block to return nil?,ruby,2025,developer tools
stackoverflow,how can i fix a restdocumentationgenerationexception: java.io.filenotfoundexception: /curl-request.adoc (read-only file system) in my spring boot app?,java,2023,web backend
stackoverflow,"how to receive the request object from webhook, clientdisconnect exception. `client disconnected before the server could read the request body`",python,2025,web backend
stackoverflow,the c 'array-to-pointer decay' paradox: why do these function declarations behave identically? void func(char a[10]) vs void func(char *a),c,2025,developer tools
stackoverflow,i have json file with struct columns empty for 1 record and having values for another record. i want to read it in scala and create dataframe,scala,2024,data_ai
stackoverflow,how can i make the screen appear with the keyboard open and focus on the text field immediately upon transitioning to the screen?,swift,2023,mobile
stackoverflow,spring boot with redis as a second-level cache. any way to set ttl on cache entries in redis so they are deleted when redisson is not running?,java,2025,web backend
stackoverflow,could not determine the dependencies of task app:compiledebugjavawithjavac cannot query the value of this provider because it has no value available,java,2025,developer tools
stackoverflow,"how can i block for one request at a time, and when it completes, then process the most recent, completing older requests with no processing?",c#,2024,devops_cloud
stackoverflow,dbi failed: scram authentication requires libpq version 10 or above,perl,2024,devops_cloud
stackoverflow,combining data from two firestore collections into a single json model (flutter) - second collection data not updating in list,dart,2025,mobile
stackoverflow,"flutter: try correcting the name to the name of an existing getter, or defining a getter or field named 'caption'. failed to compile application",dart,2024,mobile
