Year,ChuyenNganh,LanguageTag,Quantity,Total_Domain_Quantity,MarketShare_Percent
2021,DevOps & Cloud,php,1115,6136,18.17
2021,DevOps & Cloud,java,663,6136,10.81
2021,DevOps & Cloud,go,625,6136,10.19
2021,DevOps & Cloud,typescript,127,6136,2.07
2021,DevOps & Cloud,rust,32,6136,0.52
2021,Game Development,c#,4159,6953,59.82
2021,Game Development,python,2013,6953,28.95
2021,Game Development,c++,781,6953,11.23
2021,Mobile App,swift,21147,50461,41.91
2021,Mobile App,java,18750,50461,37.16
2021,Mobile App,javascript,8121,50461,16.09
2021,Mobile App,typescript,969,50461,1.92
2021,Mobile App,c#,940,50461,1.86
2021,Mobile App,c++,384,50461,0.76
2021,Mobile App,php,150,50461,0.3
2021,Web Backend,javascript,32018,126041,25.4
2021,Web Backend,java,26298,126041,20.86
2021,Web Backend,python,25279,126041,20.06
2021,Web Backend,c#,21073,126041,16.72
2021,Web Backend,php,17395,126041,13.8
2021,Web Backend,typescript,3778,126041,3.0
2021,Web Backend,swift,137,126041,0.11
2021,Web Backend,go,63,126041,0.05
2021,Web Frontend,javascript,140905,180590,78.02
2021,Web Frontend,typescript,23442,180590,12.98
2021,Web Frontend,php,9748,180590,5.4
2021,Web Frontend,python,4359,180590,2.41
2021,Web Frontend,c#,1493,180590,0.83
2021,Web Frontend,java,535,180590,0.3
2021,Web Frontend,go,92,180590,0.05
2021,Web Frontend,rust,16,180590,0.01
2022,Data Science & AI,python,95941,100147,95.8
2022,Data Science & AI,javascript,1727,100147,1.72
2022,Data Science & AI,c#,618,100147,0.62
2022,Data Science & AI,c++,553,100147,0.55
2022,Data Science & AI,php,472,100147,0.47
2022,Data Science & AI,rust,389,100147,0.39
2022,Data Science & AI,typescript,252,100147,0.25
2022,Data Science & AI,swift,195,100147,0.19
2022,Database,python,6547,28902,22.65
2022,Database,javascript,6526,28902,22.58
2022,Database,php,5185,28902,17.94
2022,Database,java,5004,28902,17.31
2022,Database,c#,3090,28902,10.69
2022,Database,typescript,808,28902,2.8
2022,Database,go,753,28902,2.61
2022,Database,swift,702,28902,2.43
2022,Database,rust,145,28902,0.5
2022,Database,c++,142,28902,0.49
2022,DevOps & Cloud,python,2377,7280,32.65
2022,DevOps & Cloud,c#,1896,7280,26.04
2022,DevOps & Cloud,php,973,7280,13.37
2022,DevOps & Cloud,java,886,7280,12.17
2022,DevOps & Cloud,go,725,7280,9.96
2022,DevOps & Cloud,typescript,364,7280,5.0
2022,DevOps & Cloud,rust,59,7280,0.81
2022,Game Development,c#,5100,7077,72.06
2022,Game Development,python,1475,7077,20.84
2022,Game Development,c++,502,7077,7.09
2022,Mobile App,swift,16978,38644,43.93
2022,Mobile App,java,12531,38644,32.43
2022,Mobile App,javascript,6929,38644,17.93
2022,Mobile App,typescript,1174,38644,3.04
2022,Mobile App,c#,846,38644,2.19
2022,Mobile App,c++,186,38644,0.48
2022,Web Backend,javascript,25356,106546,23.8
2022,Web Backend,java,24002,106546,22.53
2022,Web Backend,python,21636,106546,20.31
2022,Web Backend,c#,17796,106546,16.7
2022,Web Backend,php,13388,106546,12.57
2022,Web Backend,typescript,4196,106546,3.94
2022,Web Backend,go,97,106546,0.09
2022,Web Backend,swift,75,106546,0.07
2022,Web Frontend,javascript,119615,155112,77.12
2022,Web Frontend,typescript,23675,155112,15.26
2022,Web Frontend,php,6631,155112,4.27
2022,Web Frontend,python,3668,155112,2.36
2022,Web Frontend,c#,1060,155112,0.68
2022,Web Frontend,java,376,155112,0.24
2022,Web Frontend,go,87,155112,0.06
2023,Data Science & AI,python,42684,45309,94.21
2023,Data Science & AI,javascript,966,45309,2.13
2023,Data Science & AI,c#,415,45309,0.92
2023,Data Science & AI,rust,327,45309,0.72
2023,Data Science & AI,c++,283,45309,0.62
2023,Data Science & AI,php,256,45309,0.57
2023,Data Science & AI,typescript,237,45309,0.52
2023,Data Science & AI,swift,141,45309,0.31
2023,Database,python,3744,14538,25.75
2023,Database,java,2699,14538,18.57
2023,Database,javascript,2694,14538,18.53
2023,Database,php,2023,14538,13.92
2023,Database,c#,1756,14538,12.08
2023,Database,typescript,548,14538,3.77
2023,Database,go,536,14538,3.69
2023,Database,swift,313,14538,2.15
2023,Database,rust,125,14538,0.86
2023,Database,c++,100,14538,0.69
2023,DevOps & Cloud,python,2338,6141,38.07
2023,DevOps & Cloud,c#,1706,6141,27.78
2023,DevOps & Cloud,php,621,6141,10.11
2023,DevOps & Cloud,java,607,6141,9.88
2023,DevOps & Cloud,go,521,6141,8.48
2023,DevOps & Cloud,typescript,286,6141,4.66
2023,DevOps & Cloud,rust,62,6141,1.01
2023,Game Development,c#,2982,3743,79.67
2023,Game Development,python,447,3743,11.94
2023,Game Development,c++,314,3743,8.39
2023,Mobile App,swift,10074,20756,48.54
2023,Mobile App,java,6046,20756,29.13
2023,Mobile App,javascript,3440,20756,16.57
2023,Mobile App,typescript,667,20756,3.21
2023,Mobile App,c#,394,20756,1.9
2023,Mobile App,c++,135,20756,0.65
2023,Web Backend,java,16940,62580,27.07
2023,Web Backend,javascript,12413,62580,19.84
2023,Web Backend,c#,11722,62580,18.73
2023,Web Backend,python,10897,62580,17.41
2023,Web Backend,php,7438,62580,11.89
2023,Web Backend,typescript,3024,62580,4.83
2023,Web Backend,go,104,62580,0.17
2023,Web Backend,swift,42,62580,0.07
2023,Web Frontend,javascript,60006,81275,73.83
2023,Web Frontend,typescript,15826,81275,19.47
2023,Web Frontend,php,2966,81275,3.65
2023,Web Frontend,python,1453,81275,1.79
2023,Web Frontend,c#,580,81275,0.71
2023,Web Frontend,java,368,81275,0.45
2023,Web Frontend,go,76,81275,0.09
2024,Data Science & AI,python,17386,18721,92.87
2024,Data Science & AI,javascript,423,18721,2.26
2024,Data Science & AI,c#,211,18721,1.13
2024,Data Science & AI,rust,170,18721,0.91
2024,Data Science & AI,c++,162,18721,0.87
2024,Data Science & AI,typescript,157,18721,0.84
2024,Data Science & AI,php,145,18721,0.77
2024,Data Science & AI,swift,57,18721,0.3
2024,Data Science & AI,go,10,18721,0.05
2024,Database,python,1591,5960,26.69
2024,Database,java,1124,5960,18.86
2024,Database,c#,928,5960,15.57
2024,Database,javascript,806,5960,13.52
2024,Database,php,707,5960,11.86
2024,Database,go,284,5960,4.77
2024,Database,typescript,280,5960,4.7
2024,Database,swift,144,5960,2.42
2024,Database,rust,96,5960,1.61
2024,DevOps & Cloud,python,1352,3599,37.57
2024,DevOps & Cloud,c#,963,3599,26.76
2024,DevOps & Cloud,php,399,3599,11.09
2024,DevOps & Cloud,java,385,3599,10.7
2024,DevOps & Cloud,go,290,3599,8.06
2024,DevOps & Cloud,typescript,185,3599,5.14
2024,DevOps & Cloud,rust,25,3599,0.69
2024,Game Development,c#,1440,1654,87.06
2024,Game Development,c++,171,1654,10.34
2024,Game Development,typescript,43,1654,2.6
2024,Mobile App,swift,6061,10825,55.99
2024,Mobile App,java,2631,10825,24.3
2024,Mobile App,javascript,1348,10825,12.45
2024,Mobile App,typescript,347,10825,3.21
2024,Mobile App,c#,336,10825,3.1
2024,Mobile App,c++,89,10825,0.82
2024,Mobile App,rust,13,10825,0.12
2024,Web Backend,java,8062,30783,26.19
2024,Web Backend,c#,6554,30783,21.29
2024,Web Backend,javascript,5503,30783,17.88
2024,Web Backend,python,4895,30783,15.9
2024,Web Backend,php,4121,30783,13.39
2024,Web Backend,typescript,1570,30783,5.1
2024,Web Backend,go,39,30783,0.13
2024,Web Backend,swift,28,30783,0.09
2024,Web Backend,rust,11,30783,0.04
2024,Web Frontend,javascript,22912,32873,69.7
2024,Web Frontend,typescript,7856,32873,23.9
2024,Web Frontend,php,1117,32873,3.4
2024,Web Frontend,python,590,32873,1.79
2024,Web Frontend,c#,193,32873,0.59
2024,Web Frontend,java,163,32873,0.5
2024,Web Frontend,go,42,32873,0.13
2025,Data Science & AI,python,4149,4185,99.14
2025,Data Science & AI,c++,29,4185,0.69
2025,Data Science & AI,rust,7,4185,0.17
2025,Database,python,457,1509,30.28
2025,Database,java,312,1509,20.68
2025,Database,c#,240,1509,15.9
2025,Database,javascript,156,1509,10.34
2025,Database,php,120,1509,7.95
2025,Database,typescript,81,1509,5.37
2025,Database,go,55,1509,3.64
2025,Database,swift,40,1509,2.65
2025,Database,c++,31,1509,2.05
2025,Database,rust,17,1509,1.13
2025,DevOps & Cloud,python,695,2060,33.74
2025,DevOps & Cloud,java,472,2060,22.91
2025,DevOps & Cloud,c#,377,2060,18.3
2025,DevOps & Cloud,php,186,2060,9.03
2025,DevOps & Cloud,javascript,116,2060,5.63
2025,DevOps & Cloud,go,89,2060,4.32
2025,DevOps & Cloud,typescript,66,2060,3.2
2025,DevOps & Cloud,c++,36,2060,1.75
2025,DevOps & Cloud,swift,12,2060,0.58
2025,DevOps & Cloud,rust,11,2060,0.53
2025,Game Development,c#,368,553,66.55
2025,Game Development,c++,88,553,15.91
2025,Game Development,javascript,42,553,7.59
2025,Game Development,swift,39,553,7.05
2025,Game Development,typescript,16,553,2.89
2025,Mobile App,swift,2641,4443,59.44
2025,Mobile App,java,998,4443,22.46
2025,Mobile App,javascript,457,4443,10.29
2025,Mobile App,typescript,182,4443,4.1
2025,Mobile App,c#,121,4443,2.72
2025,Mobile App,c++,32,4443,0.72
2025,Mobile App,rust,8,4443,0.18
2025,Mobile App,go,4,4443,0.09
2025,Web Backend,java,3078,8470,36.34
2025,Web Backend,c#,1631,8470,19.26
2025,Web Backend,php,1124,8470,13.27
2025,Web Backend,python,1089,8470,12.86
2025,Web Backend,javascript,988,8470,11.66
2025,Web Backend,typescript,521,8470,6.15
2025,Web Backend,swift,24,8470,0.28
2025,Web Backend,go,15,8470,0.18
2025,Web Frontend,javascript,5240,7866,66.62
2025,Web Frontend,typescript,2176,7866,27.66
2025,Web Frontend,php,240,7866,3.05
2025,Web Frontend,python,114,7866,1.45
2025,Web Frontend,java,58,7866,0.74
2025,Web Frontend,c#,28,7866,0.36
2025,Web Frontend,go,10,7866,0.13
